Cell Type	Z-score	Cluster
Pan-B cell	0.001345775802879972	3
Regulatory B cell	0.001345775802879972	3
Switched memory B cell(Sw MB)	0.001345775802879972	3
Leukocyte	0.001345775802879972	3
Plasmacytoid dendritic cell	-0.011567301703168529	3
Oligodendrocyte	-0.02660115642944594	3
T cell	-0.072388512510865	3
Effector memory T cell	-0.07981289330581945	3
Natural killer T (NKT) cell	-0.11547486548938495	3
Paneth cell	-0.1162814557121499	3
Secretory cell	-0.14798768077222674	3
T follicular helper(Tfh) cell	-0.1659937907831546	3
Classical monocyte	-0.16925282757320673	3
Muscle satellite cell	-0.16990540040776045	3
Marginal zone B cell	-0.17031022360927717	3
Multilymphoid progenitor cell	-0.18130687167354384	3
Mature B cell	-0.18320729256066345	3
Natural killer cell	-0.2007646847208309	3
Immune cell	-0.20194770398613984	3
Follicular cell	-0.20897547209001407	3
Germinal center cell	-0.20897547209001407	3
Mast cell	-0.21077507201638984	3
CD141+CLEC9A+ dendritic cell	-0.21234314048745853	3
Mononuclear phagocyte	-0.21344543961199658	3
Natural regulatory T cell	-0.21626751864922286	3
AXL+SIGLEC6+ dendritic cell	-0.22339638656486938	3
CD1C-CD141- dendritic cell	-0.22509233463755152	3
Granulosa cell	-0.22721515217011168	3
Stem cell	-0.22754229050921218	3
Progenitor cell	-0.22800043030323727	3
Germinal center B cell	-0.22822006871172576	3
Pre-dendritic cell	-0.23057893750812028	3
Megakaryocyte	-0.23108500234192728	3
B-2 cell	-0.23108500234192728	3
CAR-T cell	-0.23250385591218842	3
Lymphocyte	-0.23312836986819585	3
Embryonic stem cell	-0.23345196084547978	3
Mitotic fetal germ cell	-0.23345196084547978	3
Migration phase fetal germ cell	-0.23345196084547978	3
Epithelial cell	-0.23725450364462955	3
Endothelial cell	-0.23739399878751455	3
SLC16A7+ cell	-0.2379862723172566	3
CD34+ pre-B cell	-0.23825920928202796	3
Mesoderm cell	-0.23904616556687966	3
Beta cell(β cell)	-0.23904616556687966	3
Atypical B cell(ABC)	-0.23904616556687966	3
Enterocyte	-0.239084266237557	3
Memory CD27+ B cell	-0.23930390464604548	3
Double-negative memory B cell	-0.23930390464604548	3
IgM only B cell	-0.23930390464604548	3
Natural memory B cell	-0.23930390464604548	3
Immature transitional B cell	-0.23930390464604548	3
Double-negative B cell	-0.23930390464604548	3
CD27+ memory B cell	-0.23930390464604548	3
Class switched memory B IgGκ cell	-0.23930390464604548	3
Multipotent mesenchymal stroma cell	-0.23930390464604548	3
T2 (Transitional) B cell	-0.23930390464604548	3
Memory CD27- B cell	-0.23930390464604548	3
Lymphoid cell	-0.23930390464604548	3
Circulating activated B cell	-0.23930390464604548	3
Activated CD4+ T cell	-0.23930390464604548	3
Resting naive B cell	-0.23930390464604548	3
Class switched plasmablast	-0.23930390464604548	3
Pro-B cell	-0.23930390464604548	3
Monocyte lineage	-0.23930390464604548	3
Aged memory B cell	-0.23930390464604548	3
Switched memory B cell	-0.23930390464604548	3
Marginal zone(MZ)-like B cell	-0.23930390464604548	3
Peripheral blood mononuclear cell (PBMC)	-0.23930390464604548	3
IgG memory B cell	-0.23930390464604548	3
Negative mesenchymal stem cell	-0.23930390464604548	3
Unswitched plasmablast	-0.23930390464604548	3
Non class-switched memory B cell	-0.23930390464604548	3
Hematopoietic cell	-0.23930390464604548	3
Neutrophil	-0.23930390464604548	3
Fibroblast	-0.23930390464604548	3
Pericyte	-0.23930390464604548	3
T1 (Transitional) B cell	-0.23930390464604548	3
Resting memory B cell	-0.23930390464604548	3
Plasmablast B cell	-0.23930390464604548	3
Plasmablast like cell	-0.23930390464604548	3
Terminal differentiated B cell	-0.23930390464604548	3
Meiotic prophase fetal germ cell	-0.23967418282018652	3
Secretory progenitor cell	-0.24017932667194783	3
CD8+ T cell	-0.2402944618733615	3
Activated effector cell	-0.2402944618733615	3
Oogenesis phase fetal germ cell	-0.24116467385875778	3
Pit progenitor cell	-0.2412034028692676	3
Immune oligodendroglial cell(imOLG)	-0.24308346931316285	3
CLEC9A+ dendritic cell	-0.24308346931316285	3
Blood cell	-0.24308346931316285	3
CLEC10A+ dendritic cell	-0.24308346931316285	3
Retinoid acid signaling-responsive fetal germ cell	-0.24308346931316285	3
Conventional dendritic cell(cDC)	-0.24311654091058776	3
Lake et al.Science.Ex8	-0.24368630722680143	3
Dividing plasma B cell	-0.24435052970380702	3
Mitotic arrest phase fetal germ cell	-0.2443932349483424	3
Monocyte progenitor cell	-0.24576934593695818	3
Conventional dendritic cell 1(cDC1)	-0.24576934593695818	3
Basal cell	-0.24707434419502544	3
CD1C+_B dendritic cell	-0.24863080687956304	3
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.24863080687956304	3
1-cell stage cell (Blastomere)	-0.24873912688111274	3
Leydig cell	-0.25030290528461	3
Regulatory T(Treg) cell	-0.25067764709342827	3
Naive CD4 T cell	-0.25067764709342827	3
Dendritic cell 2A	-0.25067764709342827	3
Thymus seeding progenitor (TSP)	-0.25067764709342827	3
B progenitor cell	-0.25067764709342827	3
Oligodendrocyte progenitor cell	-0.25094351153501027	3
Fetal myoblast	-0.25094351153501027	3
Exhausted CD4+ T cell	-0.25094351153501027	3
CD56bright Natural killer cell	-0.25094351153501027	3
Astrocyte	-0.25094351153501027	3
Effector CD8+ memory T (Tem) cell	-0.2512532164710926	3
Villous cytotrophoblast	-0.25172832480429835	3
Natural killer cell	8.781482032687068	4
T cell	4.173028520654274	4
CD8+ T cell	3.095658392512391	4
Cytotoxic T cell	2.0971756070644445	4
Natural killer T(NKT) cell	0.866710443411481	4
Microglial cell	0.7522987920522387	4
Cytotoxic CD4+ T cell	0.7495993232338065	4
Regulatory T(Treg) cell	0.7088262977744911	4
Activated CD8+ T cell	0.6038964393117056	4
Effector memory T cell	0.5145371065412889	4
Exhausted T(Tex) cell	0.3104558808876173	4
Mucosa-associated invariant T (MAIT) cell	0.3101115635697435	4
Cytotoxic CD8+ T cell	0.3029122354799328	4
Natural killer T (NKT) cell	0.29708627472717164	4
Gamma delta(γδ) T cell	0.2558503429735112	4
Lymphocyte	0.22031064989201946	4
Immune cell	0.21651681846272156	4
Memory CD8+ T cell	0.19549562763353157	4
T helper 17(Th17) cell	0.14533698956189559	4
Effector CD8+ T cell	0.10243071364019692	4
Innate lymphoid cell	0.09247479433897551	4
Effector memory CD4+ T cell	0.08257085615535606	4
Effector CD4+ T cell	0.007061229667180721	4
T helper17 (Th17) cell	0.0018289470499049923	4
Plasmacytoid dendritic cell(pDC)	-0.03056100214171819	4
Memory T cell	-0.07917200345499303	4
Exhausted CD4+ T cell	-0.0805544050296541	4
T follicular helper(Tfh) cell	-0.0805544050296541	4
Regulatory T (Treg) cell	-0.0805544050296541	4
Regulatory CD4+ T cell	-0.0805544050296541	4
Astrocyte	-0.09654473663548373	4
Outer radial glia	-0.11040261976180503	4
Radial glial cell	-0.11040261976180503	4
Effector CD8 T cell	-0.13644252702013504	4
Finally highly effector (TEMRA) memory T cell	-0.14936784300865938	4
Plasmacytoid dendritic cell	-0.1692846247872378	4
CD4+ recently activated effector memory or effector T cell (CTL)	-0.19561514450136192	4
Hematopoietic cell	-0.21720078875667267	4
Terminal effector CD8+ T cell	-0.22861769083842792	4
Effector memory CD8+ T cell	-0.23252368003487994	4
Effector CD8+ memory T (Tem) cell	-0.23380887701071024	4
CD4+ cytotoxic T2 cell	-0.23475697236104567	4
CD8+ recently activated effector memory or effector T cell (CTL)	-0.2366617880618543	4
Monocyte	-0.23876755823514567	4
CD4+ cytotoxic T1 cell	-0.24035015292522224	4
Effector regulatory T(eTreg) cell	-0.24674429372565285	4
Effector T(Teff) cell	-0.2498345500040507	4
Tissue resident memory T(TRM) cell	-0.25306454798859074	4
Cytotoxic CD4+ T2 cell	-0.2556764460191263	4
Megakaryocyte	-0.25718160908785465	4
Lymphoid cell	-0.2605128173533405	4
Megakaryocyte erythroid cell	-0.2605128173533405	4
M1 macrophage	-0.2630051796277773	4
Naive CD8+ T cell	-0.2641791426912168	4
Myeloid cell	-0.26657896080216464	4
Cytotoxic CD8 T cell	-0.2683908410824948	4
T helper cell	-0.26958279168812094	4
Memory CD4+ T cell	-0.26958279168812094	4
Cytotoxic T cell 2	-0.27380304890635127	4
T cell & Natural killer cell	-0.27459474039944054	4
Activated T cell	-0.2758467743300485	4
Senescent CD8+ T Cell	-0.27616349975410065	4
Eosinophil	-0.2783314727216814	4
SLC16A7+ cell	-0.2783314727216814	4
Activated effector cell	-0.2783314727216814	4
Platelet	-0.2783314727216814	4
NK and T cell	-0.2783314727216814	4
CD56+ natural killer cell	-0.28190525389606874	4
CD34+ pre-T cell	-0.28190525389606874	4
Effector natural killer cell	-0.28190525389606874	4
GZMK CD8 cell	-0.2834684187254998	4
Effector memory CD8 T cell	-0.2834684187254998	4
Transitional CD8+ T cell	-0.2834684187254998	4
Early effector T cell	-0.2834684187254998	4
CD4+ T cell	-0.2856820447664353	4
T helper 1(Th1) cell	-0.2863272024862349	4
Granulocyte-monocyte progenitor	-0.2880423073739582	4
Central memory T cell	-0.2884803674368194	4
Short-lived effector cell (SLEC)	-0.2921349505678043	4
Effector T cell	-0.2921349505678043	4
Naive T(Th0) cell	-0.2921349505678043	4
Highly differentiated effector CD8 + T cell	-0.2921349505678043	4
Oogenesis phase fetal germ cell	-0.29438925898369106	4
AXL+SIGLEC6+ dendritic cell	-0.29438925898369106	4
CD141+CLEC9A+ dendritic cell	-0.2971410047259571	4
Endothelial cell	-0.2978026164404329	4
Leukocyte	-0.299250946379762	4
T helper 2(Th2) cell	-0.29956767180381416	4
Exhausted CD8+ T cell	-0.29956767180381416	4
Paneth cell	-0.3002128295236138	4
Interstitial macrophage	-0.3002128295236138	4
Mast cell	-0.3002128295236138	4
Smooth muscle cell	-0.30159639647308195	4
Thymus seeding progenitor (TSP)	-0.30159639647308195	4
Secretory progenitor cell	-0.30159639647308195	4
CD4+ T helper cell	-0.30165349558013893	4
